Token	Corpus	Speaker_ID	Genre	Type	SemanticRelation	Whole.Genitive	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy2	Possessum.Animacy2	Possessor.Animacy3	Possessor.Animacy5	PossessorThematicity	Possessor.Length	Possessum.Length	New.TTR	ProtoSemanticRelation
bg02.0052.01	Brown	BG02	Non-fiction	of	OTH	The breakup  of the Holy Roman Empire	the Holy Roman Empire	Holy Roman Empire	ProperN	N	The breakup	breakup	inanimate	inanimate	collective	collective	-3.301029996	4	2	72	N
bg10.0002.03	Brown	BG10	Non-fiction	of	OTH	the calibre  of Webster and Calhoun	Webster and Calhoun	Webster and Calhoun	ProperN	N	the calibre	calibre	animate	inanimate	animate	animate	-3.301029996	3	2	74	N
bg44.0002.04	Brown	BG44	Non-fiction	of	OTH	the carvings  of cavemen	cavemen	cavemen	CommonN	N	the carvings	carvings	animate	inanimate	animate	animate	-3.301029996	1	2	65	N
bg42.0071.01	Brown	BG42	Non-fiction	of	OTH	the challenge  of decency	decency	decency	CommonN	N	the challenge	challenge	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	73	N
bg12.0039.01	Brown	BG12	Non-fiction	of	OTH	The only chance  of renovation	renovation	renovation	CommonN	N	The only chance	chance	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	3	60	N
bg13.0043.01	Brown	BG13	Non-fiction	of	OTH	the child  of nothingness	nothingness	nothingness	CommonN	Y	the child	child	inanimate	animate	inanimate	inanimate	-3.301029996	1	2	61	N
bg41.0092.02	Brown	BG41	Non-fiction	of	OTH	the dry climate  of the West	the West	West	ProperN	N	the dry climate	climate	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	3	74	N
bg18.0078.01	Brown	BG18	Non-fiction	of	OTH	the collapse  of that desperate and ill-fated campaign	that desperate and ill-fated campaign	campaign	CommonN	N	the collapse	collapse	inanimate	inanimate	inanimate	inanimate	-3.301029996	5	2	81	N
bg05.0036.02	Brown	BG05	Non-fiction	of	OTH	the color  of the skin	the skin	skin	CommonN	N	the color	color	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	70	N
bg48.0011.04	Brown	BG48	Non-fiction	s	OTH	Buell's command	Buell's	Buell	ProperN	N	command	command	animate	inanimate	animate	animate	-3.301029996	1	1	80	N
bg43.0041.02	Brown	BG43	Non-fiction	of	OTH	the aesthetic component  of reality	reality	reality	CommonN	N	the aesthetic component	component	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	3	71	N
bg11.0065.01	Brown	BG11	Non-fiction	of	OTH	the compulsions  of celestial bodies to move in circles	celestial bodies	body	CommonN	Y	the compulsions	compulsions	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	78	N
bg43.0052.01	Brown	BG43	Non-fiction	s	OTH	Freud's concept of the utility of play to a small child	Freud's	Freud	ProperN	N	concept of the utility of play to a small child	concept	animate	inanimate	animate	animate	-3.301029996	1	8	71	N
bg06.0044.02	Brown	BG06	Non-fiction	of	OTH	associate conductor , at Toscanini's invitation ,  of the NBC Orchestra	the NBC Orchestra	NBC Orchestra	ProperN	N	associate conductor , at Toscanini's invitation ,	conductor	inanimate	animate	collective	collective	-3.301029996	3	7	73	N
bg06.0045.01	Brown	BG06	Non-fiction	of	OTH	conductor  of the Buffalo Philharmonic	the Buffalo Philharmonic	Buffalo Philharmonic	ProperN	N	conductor	conductor	inanimate	animate	collective	collective	-3.301029996	3	1	72	N
bg49.0007.02	Brown	BG49	Non-fiction	of	OTH	the confessions  of a great sinner	a great sinner	sinner	CommonN	N	the confessions	confessions	animate	inanimate	animate	animate	-3.301029996	3	2	71	N
bg18.0102.01	Brown	BG18	Non-fiction	of	OTH	the conqueror  of Denmark	Denmark	Denmark	ProperN	N	the conqueror	conqueror	inanimate	animate	inanimate	place	-3.301029996	1	2	79.10447761	N
bg43.0031.01	Brown	BG43	Non-fiction	of	OTH	the content , form , and language  of the message	the message	message	CommonN	Y	the content , form , and language	content	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	7	68	N
bg22.0048.01	Brown	BG22	Non-fiction	of	OTH	the continuity  of supply or services	supply or services	supply or services	CommonN	Y	the continuity	continuity	inanimate	inanimate	inanimate	inanimate	-3.301029996	3	2	78	N
bg43.0018.01	Brown	BG43	Non-fiction	of	OTH	the core  of many , perhaps most , problems of psychotherapy	many, perhaps most, problems of psychotherapy	problems	CommonN	N	the core	core	inanimate	inanimate	inanimate	inanimate	-3.301029996	6	2	62	N
bg22.0022.01	Brown	BG22	Non-fiction	of	OTH	former Moscow correspondent  of The New York Times	The New York Times	New York Times	ProperN	Y	former Moscow correspondent	correspondent	inanimate	animate	collective	collective	-3.301029996	4	3	78	N
bg42.0038.01	Brown	BG42	Non-fiction	of	OTH	the probable course  of future developments	future developments	development	CommonN	Y	the probable course	course	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	3	70	N
bg08.0008.03	Brown	BG08	Non-fiction	s	OTH	the season's cotton and tobacco crops	the season's	season	CommonN	N	cotton and tobacco crops	crops	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	4	75	N
bg08.0069.05	Brown	BG08	Non-fiction	of	OTH	the curse  of slavery	slavery	slavery	CommonN	N	the curse	curse	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	75	N
bg07.0077.01	Brown	BG07	Non-fiction	of	OTH	the great debates  of the Seventeen Nineties	the Seventeen Nineties	Seventeen Nineties	ProperN	Y	the great debates	debates	inanimate	inanimate	inanimate	time	-3.301029996	3	3	75	N
bg44.0064.01	Brown	BG44	Non-fiction	s	OTH	English philosopher Samuel Alexander's debt to Wordsworth and Meredith	English philosopher Samuel Alexander's	English philosopher Samuel Alexander	ProperN	N	debt to Wordsworth and Meredith	debt	animate	inanimate	animate	animate	-3.301029996	4	5	74	N
bg17.0022.01	Brown	BG17	Non-fiction	s	OTH	Mr. Justice Taney's Dred Scott decision in 1857	Mr. Justice Taney's	Taney	ProperN	N	Dred Scott decision in 1857	decision	animate	inanimate	animate	animate	-3.301029996	3	5	70	N
bg10.0031.03	Brown	BG10	Non-fiction	of	OTH	the Declaration  of 1776	1776	1776	ProperN	Y	the Declaration	Declaration	inanimate	inanimate	inanimate	time	-3.301029996	1	2	70	N
bg07.0011.06	Brown	BG07	Non-fiction	of	OTH	the destiny  of unborn millions	unborn millions	millions	CommonN	Y	the destiny	destiny	animate	inanimate	animate	animate	-3.301029996	2	2	77	N
bg12.0093.01	Brown	BG12	Non-fiction	of	OTH	The destiny  of Racine's Phedre	Racine's Phedre	Racine	ProperN	N	The destiny	destiny	animate	inanimate	animate	animate	-3.301029996	2	2	69	N
bg09.0001.02	Brown	BG09	Non-fiction	of	OTH	the visual devices  of the theatre	the theatre	theatre	CommonN	N	the visual devices	devices	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	3	73	N
bg39.0027.03	Brown	BG39	Non-fiction	of	OTH	the Gullah dialects  of Africa	Africa	Africa	ProperN	N	the Gullah dialects	dialects	inanimate	inanimate	inanimate	place	-3.301029996	1	3	74	N
bg06.0002.01	Brown	BG06	Non-fiction	of	OTH	The music director  of the Pittsburgh Symphony Orchestra	the Pittsburgh Symphony Orchestra	Pittsburgh Symphony Orchestra	ProperN	N	The music director	director	inanimate	animate	collective	collective	-3.301029996	4	3	79	N
bg06.0030.01	Brown	BG06	Non-fiction	of	OTH	opera director  of the German Theater at Prague	the German Theater at Prague	German Theater at Prague	ProperN	N	opera director	director	inanimate	animate	collective	collective	-3.301029996	5	2	76	N
bg50.0004.03	Brown	BG50	Non-fiction	of	OTH	the Director  of the War College	the War College	War College	ProperN	Y	the Director	Director	inanimate	animate	collective	collective	-3.301029996	3	2	79	N
bg06.0003.02	Brown	BG06	Non-fiction	of	OTH	the directorship  of the London Philharmonic Orchestra	the London Philharmonic Orchestra	London Philharmonic Orchestra	ProperN	N	the directorship	directorship	inanimate	inanimate	collective	collective	-3.301029996	4	2	84	N
bg12.0089.01	Brown	BG12	Non-fiction	s	OTH	Augustine's doctrine of grace given and grace withheld	Augustine's	Augustine	ProperN	N	doctrine of grace given and grace withheld	doctrine	animate	inanimate	animate	animate	-3.301029996	1	7	79	N
bg12.0116.01	Brown	BG12	Non-fiction	of	OTH	the dogs  of Ireland	Ireland	Ireland	ProperN	N	the dogs	dogs	inanimate	animate	inanimate	place	-3.301029996	1	2	76	N
bg02.0052.02	Brown	BG02	Non-fiction	of	OTH	the downfall  of feudalism	feudalism	feudalism	CommonN	N	the downfall	downfall	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	72	N
bg18.0093.01	Brown	BG18	Non-fiction	of	OTH	the echo  of a saga	a saga	saga	CommonN	N	the echo	echo	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	76	N
bg12.0083.01	Brown	BG12	Non-fiction	of	OTH	the edge  of suicide	suicide	suicide	CommonN	N	the edge	edge	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	73	N
bg48.0070.03	Brown	BG48	Non-fiction	of	OTH	the dragging effect  of wagon trains	wagon trains	train	CommonN	Y	the dragging effect	effect	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	3	77	N
bg08.0017.01	Brown	BG08	Non-fiction	of	OTH	The effects  of television and other mass media	television and other mass media	media	CommonN	N	The effects	effects	inanimate	inanimate	inanimate	inanimate	-3.301029996	5	2	79	N
bg06.0042.03	Brown	BG06	Non-fiction	of	OTH	the combined efforts  of Bronislaw Hubermann and Steinberg	Bronislaw Hubermann and Steinberg	Bronislaw Hubermann and Steinberg	ProperN	N	the combined efforts	efforts	animate	inanimate	animate	animate	-3.301029996	4	3	74	N
bg02.0031.04	Brown	BG02	Non-fiction	of	OTH	the Employment Act  of 1946	1946	1946	ProperN	Y	the Employment Act	Employment Act	inanimate	inanimate	inanimate	time	-3.301029996	1	3	75	N
bg39.0033.01	Brown	BG39	Non-fiction	s	OTH	life's encumbrances	life's	life	CommonN	N	encumbrances	encumbrances	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	1	76	N
bg43.0040.06	Brown	BG43	Non-fiction	of	OTH	the end  of the day	the day	day	CommonN	N	the end	end	inanimate	inanimate	inanimate	time	-3.301029996	2	2	70	N
bg40.0091.02	Brown	BG40	Non-fiction	of	OTH	the ending  of pollution of metropolitan beaches by sewage	pollution of metropolitan beaches by sewage	pollution	CommonN	Y	the ending	ending	inanimate	inanimate	inanimate	inanimate	-3.301029996	6	2	79	N
bg12.0140.03	Brown	BG12	Non-fiction	of	OTH	the not-strictly-practical ends  of culture	culture	culture	CommonN	N	the not-strictly-practical ends	ends	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	3	69	N
bg42.0030.01	Brown	BG42	Non-fiction	of	OTH	the events  of today and tomorrow	today and tomorrow	today and tomorrow	CommonN	N	the events	events	inanimate	inanimate	inanimate	time	-3.301029996	3	2	75	N
bg08.0058.02	Brown	BG08	Non-fiction	s	OTH	a child's experience with Disneyland	a child's	child	CommonN	N	experience with Disneyland	experience	animate	inanimate	animate	animate	-3.301029996	2	3	76	N
bg11.0075.01	Brown	BG11	Non-fiction	of	OTH	the explanations  of the scientists	the scientists	scientists	CommonN	Y	the explanations	explanations	animate	inanimate	animate	animate	-3.301029996	2	2	81	N
bg09.0056.02	Brown	BG09	Non-fiction	of	OTH	the full extent  of the canvas	the canvas	canvas	CommonN	Y	the full extent	extent	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	3	72	N
bg06.0047.03	Brown	BG06	Non-fiction	s	OTH	Verdi's Falstaff	Verdi's	Verdi	ProperN	N	Falstaff	Falstaff	animate	inanimate	animate	animate	-3.301029996	1	1	73	N
bg07.0024.07	Brown	BG07	Non-fiction	of	OTH	father  of our territorial system	our territorial system	system	CommonN	N	father	father	inanimate	animate	inanimate	inanimate	-3.301029996	3	1	76	N
bg10.0037.05	Brown	BG10	Non-fiction	of	OTH	the favor and the guidance  of Almighty God	Almighty God	Almighty God	ProperN	N	the favor and the guidance	favor	animate	inanimate	animate	animate	-3.301029996	2	5	62	N
bg08.0064.01	Brown	BG08	Non-fiction	of	OTH	the accusing fingers  of all assailants	all assailants	assailant	CommonN	Y	the accusing fingers	finger	animate	inanimate	animate	animate	-3.301029996	2	3	74	N
bg40.0011.03	Brown	BG40	Non-fiction	of	OTH	foe  of stupidity	stupidity	stupidity	CommonN	N	foe	foe	inanimate	animate	inanimate	inanimate	-3.301029996	1	1	77	N
bg10.0043.02	Brown	BG10	Non-fiction	of	OTH	the forerunner  of a dangerous shift in the federal balance in favor of the Union	a dangerous shift in the federal balance in favor of the Union	shift	CommonN	N	the forerunner	forerunner	inanimate	inanimate	inanimate	inanimate	-3.301029996	8	2	67	N
bg11.0007.04	Brown	BG11	Non-fiction	of	OTH	the formulations  of Archimedes	Archimedes	Archimedes	ProperN	Y	the formulations	formulations	animate	inanimate	animate	animate	-3.301029996	1	2	75	N
bg50.0020.02	Brown	BG50	Non-fiction	of	OTH	founder  of the Austrian branch of that celebrated Italian house	the Austrian branch of that celebrated Italian house	branch	CommonN	Y	founder	founder	inanimate	animate	collective	collective	-3.301029996	8	1	75	N
bg07.0019.03	Brown	BG07	Non-fiction	s	OTH	his colony's frontier	his colony's	colony	CommonN	N	frontier	frontier	inanimate	inanimate	inanimate	place	-3.301029996	2	1	69	N
bg07.0074.01	Brown	BG07	Non-fiction	of	OTH	the fruition  of that nationalism	that nationalism	nationalism	CommonN	N	the fruition	fruition	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	72	N
bg01.0087.01	Brown	BG01	Non-fiction	of	OTH	the fruits  of excess egalitarianism	excess egalitarianism	egalitarianism	CommonN	N	the fruits	fruits	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	72	N
bg11.0011.01	Brown	BG11	Non-fiction	of	OTH	the future  of psychology	psychology	psychology	CommonN	N	the future	future	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	78	N
bg05.0060.02	Brown	BG05	Non-fiction	of	OTH	the ghazals  of Hafiz and Saadi	Hafiz and Saadi	Hafiz and Saadi	ProperN	N	the ghazals	ghazals	animate	inanimate	animate	animate	-3.301029996	3	2	70	N
bg18.0036.01	Brown	BG18	Non-fiction	s	OTH	the daylight's glow	the daylight's	daylight	CommonN	N	glow	glow	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	1	73	N
bg42.0078.01	Brown	BG42	Non-fiction	of	OTH	the goals  of psychoanalysis	psychoanalysis	psychoanalysis	CommonN	Y	the goals	goals	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	81	N
bg50.0004.02	Brown	BG50	Non-fiction	of	OTH	the Governor  of the Southern Provinces	the Southern Provinces	Southern Provinces	ProperN	Y	the Governor	Governor	inanimate	animate	inanimate	inanimate	-3.301029996	3	2	79	N
bg08.0018.02	Brown	BG08	Non-fiction	of	OTH	the second largest growth  of the period	the period	period	CommonN	N	the second largest growth	growth	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	4	80	N
bg02.0031.02	Brown	BG02	Non-fiction	of	OTH	the siege guns  of the New Deal;	the New Deal	New Deal	ProperN	N	the siege guns	guns	inanimate	inanimate	inanimate	place	-3.301029996	3	3	75	N
bg17.0069.02	Brown	BG17	Non-fiction	of	OTH	the hands  of the descendants of New Englanders engaged in the slave trade	the descendants of New Englanders engaged in the slave trade	descendant	CommonN	N	the hands	hands	animate	inanimate	animate	animate	-3.301029996	8	2	74	N
bg11.0020.02	Brown	BG11	Non-fiction	of	OTH	the hardware  of destruction	destruction	destruction	CommonN	N	the hardware	hardware	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	73	N
bg12.0007.01	Brown	BG12	Non-fiction	of	OTH	Harold Clurman  of The Nation	The Nation	Nation	ProperN	N	Harold Clurman	Harold Clurman	inanimate	animate	collective	collective	-3.301029996	2	2	71	N
bg07.0019.04	Brown	BG07	Non-fiction	of	OTH	head  of its militia	its militia	militia	CommonN	N	head	head	inanimate	animate	collective	collective	-3.301029996	2	1	69	N
bg50.0050.02	Brown	BG50	Non-fiction	of	OTH	the heart  of winter	winter	winter	CommonN	N	the heart	heart	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	80	N
bg51.0100.02	Brown	BG51	Non-fiction	of	OTH	the highlights  of our trip	our trip	trip	CommonN	N	the highlights	highlights	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	75	N
bg44.0004.02	Brown	BG44	Non-fiction	of	OTH	the horizons  of the general public , of the newspaper critic , and of the creative artist himself	the general public, of the newspaper critic, and of the creative artist himself	public	CommonN	N	the horizons	horizons	inanimate	inanimate	collective	collective	-3.301029996	8	2	67	N
bg42.0020.03	Brown	BG42	Non-fiction	of	OTH	the ideology  of Lueger's politically successful Christian socialist movement in Vienna	Lueger's politically successful Christian socialist movement in Vienna	movement	CommonN	N	the ideology	ideology	inanimate	inanimate	inanimate	inanimate	-3.301029996	8	2	81	N
bg40.0038.01	Brown	BG40	Non-fiction	s	OTH	poker player's immobility of features	poker player's	player	CommonN	N	immobility of features	immobility	animate	inanimate	animate	animate	-3.301029996	2	3	78	N
bg02.0035.01	Brown	BG02	Non-fiction	of	OTH	the impact  of the Industrial Revolution	the Industrial Revolution	Industrial Revolution	ProperN	N	the impact	impact	inanimate	inanimate	inanimate	inanimate	-3.301029996	3	2	66	N
bg46.0059.02	Brown	BG46	Non-fiction	of	OTH	the impact  of the industrial revolution	the industrial revolution	industrial revolution	CommonN	N	the impact	impact	inanimate	inanimate	inanimate	inanimate	-3.301029996	3	2	75	N
bg44.0062.01	Brown	BG44	Non-fiction	of	OTH	the importance  of Shakespeare's familarity with Plutarch and Montaigne , of Shelley's study of Plato's dialogues , and of Coleridge's enthusiastic plundering of the writings of many philosophers and theologians from Plato to Schelling and William Godwin	Shakespeare's familarity with Plutarch and Montaigne, of Shelley's study of Plato's dialogues, and of Coleridge's enthusiastic plundering of the writings of many philosophers and theologians from Plato to Schelling and William Godwin	familarity	CommonN	N	the importance	importance	inanimate	inanimate	inanimate	inanimate	-3.301029996	8	2	74	N
bg41.0050.01	Brown	BG41	Non-fiction	of	OTH	the importance  of this mission	this mission	mission	CommonN	N	the importance	importance	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	65	N
bg43.0019.07	Brown	BG43	Non-fiction	of	OTH	the influence  of religion	religion	religion	CommonN	N	the influence	influence	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	68	N
bg17.0083.07	Brown	BG17	Non-fiction	of	OTH	the inhabitants  of Africa	Africa	Africa	ProperN	N	the inhabitants	inhabitants	inanimate	animate	inanimate	place	-3.301029996	1	2	84	N
bg44.0065.02	Brown	BG44	Non-fiction	of	OTH	the insights  of the Greek tragedians	the Greek tragedians	tragedians	CommonN	Y	the insights	insights	animate	inanimate	animate	animate	-3.301029996	3	2	74	N
bg06.0043.01	Brown	BG06	Non-fiction	of	OTH	the insistence  of Arturo Toscanini	Arturo Toscanini	Arturo Toscanini	ProperN	N	the insistence	insistence	animate	inanimate	animate	animate	-3.301029996	2	2	73	N
bg46.0011.01	Brown	BG46	Non-fiction	of	OTH	the insistence  of General Radetzky	General Radetzky	General Radetzky	ProperN	N	the insistence	insistence	animate	inanimate	animate	animate	-3.301029996	2	2	76	N
bg46.0046.01	Brown	BG46	Non-fiction	of	OTH	the interrelations  of economic and social and political affairs	economic and social and political affairs	affairs	CommonN	Y	the interrelations	interrelations	inanimate	inanimate	inanimate	inanimate	-3.301029996	6	2	79	N
bg51.0001.05	Brown	BG51	Non-fiction	of	OTH	the irregularity  of his pulse	his pulse	pulse	CommonN	Y	the irregularity	irregularity	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	77	N
bg03.0054.01	Brown	BG03	Non-fiction	of	OTH	the language  of the military	the military	military	CommonN	N	the language	language	inanimate	inanimate	collective	collective	-3.301029996	2	2	75	N
bg49.0052.02	Brown	BG49	Non-fiction	s	OTH	Dian's Lap	Dian's	Dian	ProperN	N	Lap	Lap	animate	inanimate	animate	animate	-3.301029996	1	1	76	N
bg06.0041.01	Brown	BG06	Non-fiction	of	OTH	the leadership  of the Berlin Kulturbund	the Berlin Kulturbund	Berlin Kulturbund	ProperN	N	the leadership	leadership	inanimate	inanimate	collective	collective	-3.301029996	3	2	67	N
bg46.0012.02	Brown	BG46	Non-fiction	of	OTH	the legend  of the Re Galantuomo	the Re Galantuomo	Re Galantuomo	ProperN	N	the legend	legend	animate	inanimate	animate	animate	-3.301029996	3	2	77	N
bg07.0059.02	Brown	BG07	Non-fiction	of	OTH	the light  of a candle	a candle	candle	CommonN	N	the light	light	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	66	N
bg42.0067.04	Brown	BG42	Non-fiction	of	OTH	the limit  of self-control	self-control	self-control	CommonN	N	the limit	limit	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	72	N
bg48.0015.03	Brown	BG48	Non-fiction	s	OTH	Newton's crumbling line	Newton's	Newton	ProperN	N	crumbling line	line	animate	inanimate	animate	animate	-3.301029996	1	2	74	N
bg05.0036.01	Brown	BG05	Non-fiction	of	OTH	The line  of an eyebrow	an eyebrow	eyebrow	CommonN	N	The line	line	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	70	N
bg44.0057.01	Brown	BG44	Non-fiction	of	OTH	the lives  of individual authors	individual authors	author	CommonN	Y	the lives	lives	animate	inanimate	animate	animate	-3.301029996	2	2	74	N
bg17.0058.02	Brown	BG17	Non-fiction	s	OTH	Whittier's Massachusetts To Virginia	Whittier's	Whittier	ProperN	N	Massachusetts To Virginia	Massachusetts To Virginia	animate	inanimate	animate	animate	-3.301029996	1	3	82	N
bg48.0027.01	Brown	BG48	Non-fiction	of	OTH	The measure  of combat efficiency	combat efficiency	efficiency	CommonN	N	The measure	measure	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	2	76	N
bg11.0071.03	Brown	BG11	Non-fiction	of	OTH	the mechanisms  of heredity	heredity	heredity	CommonN	N	the mechanisms	mechanisms	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	2	78	N
bg39.0051.01	Brown	BG39	Non-fiction	of	OTH	the memories  of producers	producers	producers	CommonN	Y	the memories	memories	animate	inanimate	animate	animate	-3.301029996	1	2	79	N
bg06.0052.03	Brown	BG06	Non-fiction	of	OTH	the memory  of the composer of La Boheme , which he considers one of Puccini's masterpieces	the composer of La Boheme, which he considers one of Puccini's masterpieces	composer	CommonN	N	the memory	memory	animate	inanimate	animate	animate	-3.301029996	8	2	74	N
bg06.0085.03	Brown	BG06	Non-fiction	of	OTH	the angry young men  of England?	England	England	ProperN	N	the angry young men	men	inanimate	animate	inanimate	place	-3.301029996	1	4	73	N
bg13.0050.02	Brown	BG13	Non-fiction	of	OTH	the mentality  of the psychopath	the psychopath	psychopath	CommonN	N	the mentality	mentality	animate	inanimate	animate	animate	-3.301029996	2	2	73	N
bg49.0001.03	Brown	BG49	Non-fiction	s	OTH	W. M.'s curious methods of handling me	W. M.'s	W. M.	ProperN	N	curious methods of handling me	method	animate	inanimate	animate	animate	-3.301029996	2	5	79	N
bg10.0004.01	Brown	BG10	Non-fiction	of	OTH	the Missouri Compromise  of 1821	1821	1821	ProperN	N	the Missouri Compromise	Missouri Compromise	inanimate	inanimate	inanimate	time	-3.301029996	1	3	77	N
bg45.0026.01	Brown	BG45	Non-fiction	of	OTH	the murder  of McKinley	McKinley	McKinley	ProperN	N	the murder	murder	animate	inanimate	animate	animate	-3.301029996	1	2	76	N
bg06.0042.02	Brown	BG06	Non-fiction	of	OTH	the best musicians  of the Berlin and Frankfurt Kulturbund orchestras	the Berlin and Frankfurt Kulturbund orchestras	Berlin and Frankfurt Kulturbund orchestras	ProperN	Y	the best musicians	musicians	inanimate	animate	collective	collective	-3.301029996	6	3	74	N
bg44.0028.01	Brown	BG44	Non-fiction	s	OTH	Burns's my love is like a red , red rose	Burns's	Burns	ProperN	Y	my love is like a red , red rose	my love is like a red, red rose	animate	inanimate	animate	animate	-3.301029996	1	8	77	N
bg06.0058.02	Brown	BG06	Non-fiction	s	OTH	Carlisle Floyd's mystery	Carlisle Floyd's	Carlisle Floyd	ProperN	N	mystery	mystery	animate	inanimate	animate	animate	-3.301029996	2	1	78	N
bg01.0005.01	Brown	BG01	Non-fiction	of	OTH	The nature  of the opposition between liberals and Bourbons	the opposition between liberals and Bourbons	opposition	CommonN	Y	The nature	nature	inanimate	inanimate	inanimate	inanimate	-3.301029996	6	2	83	N
bg43.0037.01	Brown	BG43	Non-fiction	s	OTH	Beardsley's notion of harmony and the resolution of indecision	Beardsley's	Beardsley	ProperN	N	notion of harmony and the resolution of indecision	notion	animate	inanimate	animate	animate	-3.301029996	1	8	69	N
bg08.0047.02	Brown	BG08	Non-fiction	s	OTH	Keith Wheeler's novel	Keith Wheeler's	Keith Wheeler	ProperN	N	novel	novel	animate	inanimate	animate	animate	-3.301029996	2	1	80	N
bg03.0061.02	Brown	BG03	Non-fiction	of	OTH	the offices and action stations  of the Secretary of Defense , the Joint Chiefs of Staff , the SAC commander and other key men	the Secretary of Defense, the Joint Chiefs of Staff, the SAC commander and other key men	Secretary of Defense	CommonN	N	the offices and action stations	offices	animate	inanimate	animate	animate	-3.301029996	8	5	73	N
bg48.0091.03	Brown	BG48	Non-fiction	of	OTH	the greatest opportunity  of his career	his career	career	CommonN	N	the greatest opportunity	opportunity	inanimate	inanimate	inanimate	inanimate	-3.301029996	2	3	78	N
bg40.0058.02	Brown	BG40	Non-fiction	of	OTH	the origin  of his pipeline tip	his pipeline tip	tip	CommonN	N	the origin	origin	inanimate	inanimate	inanimate	inanimate	-3.301029996	3	2	73	N
bg02.0062.01	Brown	BG02	Non-fiction	of	OTH	the peoples  of the remainder of the world	the remainder of the world	remainder	CommonN	N	the peoples	peoples	inanimate	inanimate	inanimate	inanimate	-3.301029996	5	2	77	N
bg11.0059.03	Brown	BG11	Non-fiction	of	OTH	the performance  of a rain dance	a rain dance	dance	CommonN	Y	the performance	performance	inanimate	inanimate	inanimate	inanimate	-3.301029996	3	2	82	N
bg12.0141.01	Brown	BG12	Non-fiction	of	OTH	this mature phase  of development	development	development	CommonN	N	this mature phase	phase	inanimate	inanimate	inanimate	inanimate	-3.301029996	1	3	69	N
bg43.0038.02	Brown	BG43	Non-fiction	s	OTH	Housman's fine phrase on the arts	Housman's	Housman	ProperN	N	fine phrase on the arts	phrase	animate	inanimate	animate	animate	-3.301029996	1	5	72	N
bg46.0059.01	Brown	BG46	Non-fiction	of	OTH	Living pictures  of the early boroughs	the early boroughs	boroughs	CommonN	Y	Living pictures	pictures	inanimate	inanimate	collective	collective	-3.301029996	3	2	75	N
bg02.0020.03	Brown	BG02	Non-fiction	s	OTH	President Roosevelt's ill-starred but in effect victorious Court-packing plan	President Roosevelt's	President Roosevelt	ProperN	N	ill-starred but in effect victorious Court-packing plan	plan	animate	inanimate	animate	animate	-3.301029996	2	7	76	N
bg44.0062.06	Brown	BG44	Non-fiction	s	OTH	Coleridge's enthusiastic plundering of the writings of many philosophers and theologians from Plato to Schelling and William Godwin	Coleridge's	Coleridge	ProperN	Y	enthusiastic plundering of the writings of many philosophers and theologians from Plato to Schelling and William Godwin	plundering	animate	inanimate	animate	animate	-3.301029996	1	8	74	N
bg44.0062.07	Brown	BG44	Non-fiction	of	OTH	Coleridge's enthusiastic plundering  of the writings of many philosophers and theologians from Plato to Schelling and William Godwin	the writings of many philosophers and theologians from Plato to Schelling and William Godwin	writing	CommonN	N	Coleridge's enthusiastic plundering	plundering	inanimate	inanimate	inanimate	inanimate	-3.301029996	8	3	74	N
